subject,class,channel,band,snr_db
1,Left hand,C3,mu,-5.241010167265116
1,Left hand,C3,beta,-15.820565721680941
1,Left hand,Cz,mu,-3.254672768496016
1,Left hand,Cz,beta,-16.001086598975608
1,Left hand,C4,mu,-4.096426333556585
1,Left hand,C4,beta,-12.34104101376738
1,Right hand,C3,mu,-5.3877097008817465
1,Right hand,C3,beta,-16.00884559264132
1,Right hand,Cz,mu,-3.2741114518997563
1,Right hand,Cz,beta,-16.50473014814433
1,Right hand,C4,mu,-1.629659278034343
1,Right hand,C4,beta,-12.601850055065158
2,Left hand,C3,mu,-6.590879585107904
2,Left hand,C3,beta,-17.689567389344646
2,Left hand,Cz,mu,-8.08415222356446
2,Left hand,Cz,beta,-20.369935555113727
2,Left hand,C4,mu,-8.803669811272425
2,Left hand,C4,beta,-19.827250511471917
2,Right hand,C3,mu,-7.0788215666521985
2,Right hand,C3,beta,-19.340906721486128
2,Right hand,Cz,mu,-7.552056127888306
2,Right hand,Cz,beta,-21.83855137477858
2,Right hand,C4,mu,-6.320187430449453
2,Right hand,C4,beta,-18.5383310424928
3,Left hand,C3,mu,-5.576283844965451
3,Left hand,C3,beta,-11.034883582169552
3,Left hand,Cz,mu,-7.782578070057663
3,Left hand,Cz,beta,-18.198612409297766
3,Left hand,C4,mu,-6.883071683132968
3,Left hand,C4,beta,-15.592523030690993
3,Right hand,C3,mu,-4.208309965288963
3,Right hand,C3,beta,-14.562831784436863
3,Right hand,Cz,mu,-6.3317714336861
3,Right hand,Cz,beta,-19.656903968031138
3,Right hand,C4,mu,-3.8876500257537816
3,Right hand,C4,beta,-12.962260352326467
4,Left hand,C3,mu,2.5067087517064177
4,Left hand,C3,beta,-17.209310697144055
4,Left hand,Cz,mu,-2.2039818314184814
4,Left hand,Cz,beta,-20.552783703919886
4,Left hand,C4,mu,-1.4596635512803704
4,Left hand,C4,beta,-17.971510520156922
4,Right hand,C3,mu,-1.3624080182184146
4,Right hand,C3,beta,-17.014626260365834
4,Right hand,Cz,mu,-4.859114873707352
4,Right hand,Cz,beta,-18.6589150877201
4,Right hand,C4,mu,0.28215604721791293
4,Right hand,C4,beta,-14.11986498390711
5,Left hand,C3,mu,-5.904238978722953
5,Left hand,C3,beta,-21.685727982067927
5,Left hand,Cz,mu,-10.021969041630907
5,Left hand,Cz,beta,-24.504014301179375
5,Left hand,C4,mu,-8.35320240052128
5,Left hand,C4,beta,-22.48296574223714
5,Right hand,C3,mu,-10.001715402665818
5,Right hand,C3,beta,-22.44051007413546
5,Right hand,Cz,mu,-12.949246366216414
5,Right hand,Cz,beta,-27.34171972417476
5,Right hand,C4,mu,-8.62689395227124
5,Right hand,C4,beta,-17.886923034629117
6,Left hand,C3,mu,-5.455536822332095
6,Left hand,C3,beta,-17.269576551581093
6,Left hand,Cz,mu,-4.070230567675481
6,Left hand,Cz,beta,-19.02236531716515
6,Left hand,C4,mu,-6.365445378446049
6,Left hand,C4,beta,-19.60755340227853
6,Right hand,C3,mu,-7.5031552044104135
6,Right hand,C3,beta,-20.870160948382022
6,Right hand,Cz,mu,-4.488186567388819
6,Right hand,Cz,beta,-21.043173627076865
6,Right hand,C4,mu,-4.304457154659106
6,Right hand,C4,beta,-18.707249919008685
7,Left hand,C3,mu,-5.985482098824189
7,Left hand,C3,beta,-12.661247377010714
7,Left hand,Cz,mu,-12.213420036174291
7,Left hand,Cz,beta,-23.77574765243104
7,Left hand,C4,mu,-13.228672548266474
7,Left hand,C4,beta,-19.287448160481702
7,Right hand,C3,mu,-9.08187583069999
7,Right hand,C3,beta,-16.70266025151536
7,Right hand,Cz,mu,-10.000124295102633
7,Right hand,Cz,beta,-20.510852586136956
7,Right hand,C4,mu,-1.8520387379914975
7,Right hand,C4,beta,-10.041715661395635
8,Left hand,C3,mu,2.4196215654835656
8,Left hand,C3,beta,-9.29428427144383
8,Left hand,Cz,mu,-1.8645485400771376
8,Left hand,Cz,beta,-15.571517160448
8,Left hand,C4,mu,6.047022332594356
8,Left hand,C4,beta,-8.775155665963561
8,Right hand,C3,mu,-0.4506432261362106
8,Right hand,C3,beta,-14.647569696403874
8,Right hand,Cz,mu,-1.134003898017599
8,Right hand,Cz,beta,-14.698784632171213
8,Right hand,C4,mu,6.190152275893032
8,Right hand,C4,beta,-8.782595297599178
9,Left hand,C3,mu,-3.9331217041803406
9,Left hand,C3,beta,-12.519993440075375
9,Left hand,Cz,mu,-4.659580549015558
9,Left hand,Cz,beta,-16.074028588767465
9,Left hand,C4,mu,-4.729285810224241
9,Left hand,C4,beta,-14.037044647715893
9,Right hand,C3,mu,-2.458782539279868
9,Right hand,C3,beta,-12.407791114704334
9,Right hand,Cz,mu,-4.9160196511063905
9,Right hand,Cz,beta,-15.964588264951246
9,Right hand,C4,mu,-2.222511729585863
9,Right hand,C4,beta,-11.003886803196528
