config	fold_strategy	training_variant	metric	model_a	model_b	n_folds	mean_a	mean_b	mean_diff_a_minus_b	statistic	p_value	skip_reason	p_holm	reject_holm
series_overlap	leave_one_series_out	augmented	balanced_accuracy	DeepConvNet	EEG-Conformer	4	0.82112068965	0.77370689655	0.047413793100000046	1.0	0.25		1.0	False
series_overlap	leave_one_series_out	augmented	balanced_accuracy	DeepConvNet	EEGNet	4	0.82112068965	0.790948275875	0.03017241377499999	1.0	0.25		1.0	False
series_overlap	leave_one_series_out	augmented	balanced_accuracy	DeepConvNet	ShallowConvNet	4	0.82112068965	0.7047413792999999	0.11637931035000001	1.0	0.25		1.0	False
series_overlap	leave_one_series_out	augmented	balanced_accuracy	EEG-Conformer	EEGNet	4	0.77370689655	0.790948275875	-0.017241379325000056	3.0	0.625		1.0	False
series_overlap	leave_one_series_out	augmented	balanced_accuracy	EEG-Conformer	ShallowConvNet	4	0.77370689655	0.7047413792999999	0.06896551724999997	1.0	0.25		1.0	False
series_overlap	leave_one_series_out	augmented	balanced_accuracy	EEGNet	ShallowConvNet	4	0.790948275875	0.7047413792999999	0.08620689657500002	0.0	0.25		1.0	False
series_overlap	leave_one_series_out	not_augmented	balanced_accuracy	DeepConvNet	EEG-Conformer	4	0.622844827575	0.8125	-0.189655172425	0.0	0.125		0.75	False
series_overlap	leave_one_series_out	not_augmented	balanced_accuracy	DeepConvNet	EEGNet	4	0.622844827575	0.79094827585	-0.16810344827499998	0.0	0.125		0.75	False
series_overlap	leave_one_series_out	not_augmented	balanced_accuracy	DeepConvNet	ShallowConvNet	4	0.622844827575	0.7155172413750001	-0.09267241380000002	0.0	0.125		0.75	False
series_overlap	leave_one_series_out	not_augmented	balanced_accuracy	EEG-Conformer	EEGNet	4	0.8125	0.79094827585	0.021551724150000007	1.0	0.25		0.75	False
series_overlap	leave_one_series_out	not_augmented	balanced_accuracy	EEG-Conformer	ShallowConvNet	4	0.8125	0.7155172413750001	0.09698275862499997	0.0	0.125		0.75	False
series_overlap	leave_one_series_out	not_augmented	balanced_accuracy	EEGNet	ShallowConvNet	4	0.79094827585	0.7155172413750001	0.07543103447499996	0.0	0.125		0.75	False
