config	fold_strategy	fold	fold_index	model	training_variant	epoch	accuracy	balanced_accuracy	mcc	seed	train_size	eval_size	train_dataset_size	augmentation_repeats	noise_std	amplitude_min	amplitude_max	duration	overlap	y_true	y_pred
mixed_short_no_overlap	mixed_stratified	mixed_1	1	DeepConvNet	augmented	4	0.3888888889	0.5416666667	0.1714985851	2001	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	DeepConvNet	augmented	8	0.4444444444	0.5000000000	0.0000000000	2002	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	DeepConvNet	augmented	4	0.4444444444	0.5833333333	0.2500000000	2003	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_4	4	DeepConvNet	augmented	6	0.4444444444	0.5833333333	0.2500000000	2004	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1]
mixed_short_no_overlap	mixed_stratified	mixed_1	1	DeepConvNet	not_augmented	15	0.4444444444	0.5833333333	0.2500000000	2001	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	DeepConvNet	not_augmented	2	0.6111111111	0.5000000000	0.0000000000	2002	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	DeepConvNet	not_augmented	73	0.5000000000	0.5833333333	0.1754116039	2003	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1]
mixed_short_no_overlap	mixed_stratified	mixed_4	4	DeepConvNet	not_augmented	13	0.4444444444	0.5833333333	0.2500000000	2004	54	18	54	1	0.0	1.0	1.0	0.4	0.0	[0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0]	[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1]
mixed_short_no_overlap	mixed_stratified	mixed_1	1	EEG-Conformer	augmented	11	0.6666666667	0.6250000000	0.2500000000	2001	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0]	[0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0]
mixed_short_no_overlap	mixed_stratified	mixed_2	2	EEG-Conformer	augmented	4	0.7222222222	0.7500000000	0.4714045208	2002	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0]	[1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0]
mixed_short_no_overlap	mixed_stratified	mixed_3	3	EEG-Conformer	augmented	85	0.7777777778	0.7500000000	0.5000000000	2003	54	18	270	5	0.02	0.9	1.1	0.4	0.0	[0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0]	[0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0]
