config	fold_strategy	training_variant	metric	model_a	model_b	n_folds	mean_a	mean_b	mean_diff_a_minus_b	statistic	p_value	skip_reason	p_holm	reject_holm
mixed_short_no_overlap	mixed_stratified	augmented	balanced_accuracy	DeepConvNet	EEG-Conformer	4	0.552083333325	0.6875	-0.135416666675	0.0	0.125		0.75	False
mixed_short_no_overlap	mixed_stratified	augmented	balanced_accuracy	DeepConvNet	EEGNet	4	0.552083333325	0.6979166666500001	-0.145833333325	0.0	0.125		0.75	False
mixed_short_no_overlap	mixed_stratified	augmented	balanced_accuracy	DeepConvNet	ShallowConvNet	4	0.552083333325	0.71875	-0.166666666675	0.0	0.125		0.75	False
mixed_short_no_overlap	mixed_stratified	augmented	balanced_accuracy	EEG-Conformer	EEGNet	4	0.6875	0.6979166666500001	-0.010416666650000017	3.0	1.0		1.0	False
mixed_short_no_overlap	mixed_stratified	augmented	balanced_accuracy	EEG-Conformer	ShallowConvNet	4	0.6875	0.71875	-0.03125	2.0	0.5		1.0	False
mixed_short_no_overlap	mixed_stratified	augmented	balanced_accuracy	EEGNet	ShallowConvNet	4	0.6979166666500001	0.71875	-0.020833333349999983	2.0	0.75		1.0	False
mixed_short_no_overlap	mixed_stratified	not_augmented	balanced_accuracy	DeepConvNet	EEG-Conformer	4	0.5624999999750001	0.6875	-0.12500000002499997	0.0	0.25		1.0	False
mixed_short_no_overlap	mixed_stratified	not_augmented	balanced_accuracy	DeepConvNet	EEGNet	4	0.5624999999750001	0.71875	-0.15625000002499997	0.0	0.125		0.75	False
mixed_short_no_overlap	mixed_stratified	not_augmented	balanced_accuracy	DeepConvNet	ShallowConvNet	4	0.5624999999750001	0.7604166666500001	-0.197916666675	0.0	0.125		0.75	False
mixed_short_no_overlap	mixed_stratified	not_augmented	balanced_accuracy	EEG-Conformer	EEGNet	4	0.6875	0.71875	-0.03125	3.5	0.75		1.0	False
mixed_short_no_overlap	mixed_stratified	not_augmented	balanced_accuracy	EEG-Conformer	ShallowConvNet	4	0.6875	0.7604166666500001	-0.07291666665000002	1.0	0.25		1.0	False
mixed_short_no_overlap	mixed_stratified	not_augmented	balanced_accuracy	EEGNet	ShallowConvNet	4	0.71875	0.7604166666500001	-0.04166666665000002	2.0	0.75		1.0	False
